Name,NO,Date,Time,WTemperature,Sampling_depth,Description,Temperature,Water_temperature,Salt,pH,Conductivity,Transparency,Suspended_solids,COD,BOD5,Dissolved_oxygen,Cl,Nitrate_nitrogen,Ammonia_nitrogen,TP,E-coli,Pb,Cd,Cu,Fe,Zn,Cr,Ni,Hg,DOS
後港橋,1034,2017/1/11,09:47,,,,24.5,23.3,0.3,8,610,20,24.6,17.7,7.3,3.4,28.3,,4.6,,210000,,,,,,,,,
民族橋,1033,2017/1/11,10:03,,,,24.4,23.1,0.3,8.1,610,22,13.6,17.3,6.6,3,21.5,,5.03,,350000,,,,,,,,,
龍心橋,1030,2017/1/11,11:41,,,,25.9,24.9,11.2,7.8,18700,19,11.5,14.6,6,3.1,7470,,4.51,,190000,,,,,,,,,
九如橋,1025,2017/1/11,11:23,,,,25.8,25.2,21.4,7.8,34000,21,10.3,14,5.6,3.8,12700,,5.05,,71000,,,,,,,,,
七賢橋,1027,2017/1/11,11:10,,,,26,25.5,21.3,7.8,33300,22,5.2,12.7,5.5,3.9,14500,,4.65,,44000,,,,,,,,,
高雄橋,1029,2017/1/11,10:58,,,,25.8,24.9,22.5,7.8,35600,20,9.2,13.4,5.3,3.3,14900,,4.67,,280000,,,,,,,,,
臨海橋,1281,2017/1/3,15:53,,,,26.3,24.6,2,7.8,4050,7.9,11.1,20.2,7.9,3.9,,,6.61,,,,,,,,,,,
前鎮橋,1282,2017/1/3,16:08,,,,26.5,24.8,1.6,7.8,3400,,9.1,21.3,8.2,3.8,,,7.56,,,,,,,,,,,
仁武橋,1287,2017/1/5,10:03,,,,25.9,23.2,0.6,8,1290,,30.2,13.4,5.2,3.8,,,5.13,,,,,0.008,,-0.0171,,-0.0039,,
經建橋,1286,2017/1/5,09:48,,,,25.4,24.4,0.6,7.9,1270,,19.6,66.4,27,3.8,,,18.7,,,,,-0.006,,-0.0171,,-0.0039,,
惠豐橋,1283,2017/1/5,09:35,,,,25.5,23.5,0.6,7.8,1340,,13.9,12.2,4.9,3.5,,,4.96,,,,,-0.006,,-0.0171,,0.01,,
興中橋,1284,2017/1/5,08:30,,,,25.1,24.4,5.9,7.8,10900,,8.6,18.9,5.8,3.4,,,7.5,,,,,-0.006,,-0.0171,,0.015,,
富田橋,401,2017/1/3,10:58,,,,25.3,24.1,0.2,8,660,,261,31.4,11.6,3.8,,,2.2,,,,,-0.006,1.8,,-0.004,,,
大東橋,402,2017/1/3,10:55,,,,25.2,24,0.3,8.1,700,,39.3,14.5,6.7,3.7,,,2.61,,,,,-0.006,0.881,,-0.004,,,
橋子頭橋,301,2017/1/16,10:04,,,,21.5,20.2,0.7,7.6,1410,,11.2,45.1,17.2,4,,,7.25,,,,,,,0.11,,-0.0039,-0.00018,
長潤橋,302,2017/1/16,10:46,,,,23.4,21.9,4.5,7.8,8420,,9.8,18.1,7.1,4.9,,,8.63,,,,,,,0.05,,0.046,-0.00018,
典寶橋,303,2017/1/16,15:46,,,,25.1,24.2,10.5,7.7,18700,,6.5,12.9,5.1,4.6,,,7.8,,,,,,,-0.0171,,-0.0039,-0.00018,
岡山橋,201,2017/1/5,11:03,,,,26.5,23.3,0.7,7.9,1690,,13.6,40.9,15.1,3.4,,,8.01,,,,,0.011,,0.174,,-0.0039,,
河華橋,202,2017/1/5,10:51,,,,26.3,24.1,0.5,8,1100,,18.7,42.2,16.5,3.6,,,7.25,,,,,-0.006,,-0.0171,,-0.0039,,
北林路口,,2017/1/3,12:50,,,,26.1,24.7,0.4,7.9,960,,11,96.6,36.7,3.5,,,7.59,,,,,7.59,,,,,,
中鋼南門橋下,,2017/1/3,15:20,,,,26.5,25.3,15.1,7.3,20900,,11.7,23.8,9.4,4,,,7.34,,,,,7.34,,,,,,
遊艇碼頭,,2017/1/10,10:05,,,,22,22.5,0.2,8.4,359,,12.4,18.3,7.4,8.2,,,0.5,,180,,,,,,,,,
人行拱橋,,2017/1/10,10:15,,,,22,23,0.2,8.4,365,,9.8,16.2,6.4,7.4,,,0.47,,2100,,,,,,,,,
龍船船塢,,2017/1/10,10:12,,,,22,23,0.2,8.4,362,,12.5,14,5.5,6.9,,,0.46,,150,,,,,,,,,
金獅湖,,2017/1/10,09:18,,,,20.5,21.5,0.2,7.6,521,,20.7,27.1,11.1,5.7,,,0.46,,420,,,,,,,,,
內惟埤,,2017/1/10,09:42,,,,21,21.5,0.6,8.3,1250,,25.6,26.4,10.8,5.5,,,0.51,,1700,,,,,,,,,
