Name,NO,Date,Time,WTemperature,Sampling_depth,Description,Temperature,Water_temperature,Salt,pH,Conductivity,Transparency,Suspended_solids,COD,BOD5,Dissolved_oxygen,Cl,Nitrate_nitrogen,Ammonia_nitrogen,TP,E-coli,Pb,Cd,Cu,Fe,Zn,Cr,Ni,Hg,DOS
後港橋,1034,2017/11/7,10:54,,,,27.5,26.3,0.5,7.7,990,0.15,12.8,47,16.5,2.1,65,0.08,5.56,1.89,2700,-0.0023,-0.0003,0.01,0.525,0.046,-0.004,-0.0039,,
民族橋,1033,2017/11/7,11:15,,,,27.6,26.1,1,8,2010,0.16,7.6,42.2,13.1,2.2,401,0.17,5.23,1.89,510000,-0.0023,-0.0003,0.008,0.322,0.034,-0.004,-0.0039,,
龍心橋,1030,2017/11/7,14:05,,,,31.9,30.9,15,9.2,26300,0.16,19.8,76.7,33.1,3.5,8780,0.08,6.07,0.965,64000,-0.0023,-0.0003,-0.006,0.153,0.05,-0.004,-0.0039,,
九如橋,1025,2017/11/7,14:38,,,,31.5,29.3,29.4,8.1,45500,0.17,4.6,15.6,4.8,2.3,16800,0.11,4.67,0.234,2600,-0.0023,-0.0003,-0.006,0.057,0.02,-0.004,-0.0039,,
七賢橋,1027,2017/11/7,13:38,,,,31.1,29.3,28.7,8.1,44300,0.19,-2.5,15.9,4.9,2.1,16600,0.11,5.36,0.191,2600,-0.0023,-0.0003,-0.006,0.061,-0.0171,-0.004,-0.0039,,
高雄橋,1029,2017/11/7,13:18,,,,30.8,29.1,25,8,39300,0.18,10.8,17.6,7.2,2,14700,0.13,5.13,0.299,50000,-0.0023,-0.0003,-0.006,0.069,-0.0171,-0.004,-0.0039,,
臨海橋,1281,2017/11/1,11:56,,,,29.1,28,8.9,7.8,16700,,5.2,17,5,1.7,,0.67,8.86,0.606,,-0.0023,-0.0003,-0.006,0.251,-0.0171,-0.004,-0.0039,,
前鎮橋,1282,2017/11/1,12:18,,,,29.4,28.3,12.4,8,22200,,7.2,21.5,6.3,1.7,,0.79,8.6,0.763,,-0.0023,-0.0003,-0.006,0.338,-0.0171,-0.004,-0.0039,,
仁武橋,1287,2017/11/2,10:27,,,,26.9,25.4,1.3,8,2680,,28.7,31.5,9.1,2.1,,4.14,4.74,1.11,,-0.0023,-0.0003,-0.006,1.82,0.025,-0.004,-0.0039,,
經建橋,1286,2017/11/2,10:03,,,,26.9,26.7,0.4,8.5,895,,68.5,96.2,27.4,2.7,,0.18,16.4,1.78,,-0.0023,0.001,-0.006,0.434,0.057,-0.004,-0.0039,,
惠豐橋,1283,2017/11/2,11:18,,,,28.2,27.2,1.2,8.2,2430,,17.3,32.1,9.1,2.4,,3.98,4.76,0.81,,-0.0023,0.001,-0.006,0.879,0.025,-0.004,0.014,,
興中橋,1284,2017/11/2,12:11,,,,28.5,28.1,7.3,8,13400,,10.4,76.9,15.9,2.3,,1.56,9.32,0.559,,-0.0023,<0.001,-0.006,0.353,0.03,-0.004,-0.0039,,
富田橋,401,2017/11/1,09:27,,,,26.8,25.3,0.4,7.7,845,,30,36,12.6,1.4,,0.72,2.82,1.47,,-0.0023,-0.0003,-0.006,1.82,0.017,-0.004,-0.0039,,
大東橋,402,2017/11/1,09:50,,,,27.2,26.3,0.4,7.8,887,,19.9,42.1,17.8,1.8,,2.2,2.19,1.41,,-0.0023,-0.0003,-0.006,0.794,0.022,0.006,-0.0039,,
橋子頭橋,301,2017/11/8,11:23,,,,30.4,27.3,0.8,7.8,1820,,16.8,68.9,17.7,1.7,,0.16,8.43,2.71,,<0.01,-0.0003,0.012,0.699,0.038,-0.004,-0.0039,-0.00018,
長潤橋,302,2017/11/8,14:27,,,,31.4,30.4,3.9,8,7820,,11,32.1,9,2.4,,1.05,9.46,2.07,,-0.0023,-0.0003,0.008,0.599,0.176,-0.004,-0.0039,-0.00018,
典寶橋,303,2017/11/8,15:12,,,,32,30.2,22.4,8.3,35300,,14.8,33.5,9.6,2.7,,0.32,8.5,0.767,,-0.0023,-0.0003,0.012,0.667,0.026,-0.004,-0.0039,-0.00018,
岡山橋,201,2017/11/2,12:46,,,,28.5,26.2,0.9,8,1820,,9.5,39.4,11.1,2,,34.5,8.55,7.18,,-0.0023,＜0.001,-0.006,0.18,0.04,-0.004,0.005,,
河華橋,202,2017/11/2,13:01,,,,29.6,28.3,0.4,8.5,816,,32.8,48.3,17.6,2.7,,0.22,9.38,0.711,,<0.01,0.001,-0.006,0.518,0.095,-0.004,-0.0039,,
北林路口,,2017/11/1,11:02,,,,28.3,27.3,0.3,8.3,698,,4.8,22.7,6.4,2.1,,0.79,11.4,0.803,,-0.0023,-0.0003,-0.006,0.42,1.13,0.07,0.064,,
中鋼南門橋下,,2017/11/1,11:25,,,,28.6,27.9,12.4,8.2,22500,,19.6,19.1,14.4,2.3,,0.15,9.83,0.801,,-0.0023,-0.0003,-0.006,0.181,0.023,-0.004,-0.0039,,
遊艇碼頭,,2017/11/8,09:48,,,,27.5,28.2,0.1,9.5,292,,22,38.9,9.6,9.9,,,0.52,,80,,,,,,,,,
人行拱橋,,2017/11/8,10:25,,,,28,28.6,0.2,8.9,319,,19.4,67.7,13.1,6.9,,,0.52,,150,,,,,,,,,
龍船船塢,,2017/11/8,10:05,,,,27,28,0.1,9.2,290,,22.5,83.7,19,9.9,,,0.52,,100,,,,,,,,,
金獅湖,,2017/11/8,09:10,,,,26,26.8,0.2,8.1,405,,43.1,48.3,10.1,7,,,0.54,,600,,,,,,,,,
內惟埤,,2017/11/8,09:32,,,,27,26.4,0.6,8.6,1300,,57.5,89.6,18.7,6.3,,,0.52,,2400,,,,,,,,,
