Name,Date,TSP,PM10,Chloride,Nitrate,Sulfate,Lead,Dust
大社工業區,2017年01月,111,,,,,0.025,1.26
大寮區公所,2017年01月,110,,,,,0.033,0.53
大樹監測站,2017年01月,96,,,,,0.034,1.82
仁武國中,2017年01月,89,,,,,0.049,3.19
半屏山電信局,2017年01月,102,64,,,,0.052,0.41
左營國小,2017年01月,96,54,,,,0.039,2.15
永安工業區,2017年01月,100,,,,,0.035,1.66
西子灣中山大學,2017年01月,68,46,,,,0.025,2.31
岡山醫院,2017年01月,108,,,,,0.036,1.42
林園工業區,2017年01月,104,,,,,0.03,1.72
河濱國小,2017年01月,86,60,,,,0.074,0.98
阿蓮區公所,2017年01月,92,,,,,0.031,0.14
前鎮國小,2017年01月,129,86,,,,0.071,1.48
莊敬國小,2017年01月,91,74,,,,0.041,0.97
愛國國小,2017年01月,120,63,,,,0.06,0.99
楠梓區清潔隊,2017年01月,105,62,,,,0.029,0.35
路竹地政事務所,2017年01月,98,,,,,0.053,0.74
鼓山圖書分館,2017年01月,81,53,,,,0.063,0.6
衛生局中正辦公室,2017年01月,86,52,,,,0.06,1.08
環保局環境檢驗科,2017年01月,94,56,,,,0.037,1.23
大社工業區,2017年02月,113,,,,,0.038,1.57
大寮區公所,2017年02月,95,,,,,0.038,1.41
大樹監測站,2017年02月,80,,,,,0.009,1.85
仁武國中,2017年02月,100,,,,,0.031,2.06
半屏山電信局,2017年02月,110,74,,,,0.033,1.14
左營國小,2017年02月,123,45,,,,0.03,2.29
永安工業區,2017年02月,104,,,,,0.031,1.85
西子灣中山大學,2017年02月,75,44,,,,0.028,1.69
岡山醫院,2017年02月,66,,,,,0.027,1.39
林園工業區,2017年02月,121,,,,,0.033,2
河濱國小,2017年02月,105,64,,,,0.035,1.94
阿蓮區公所,2017年02月,85,,,,,0.009,1.76
前鎮國小,2017年02月,129,94,,,,0.068,1.91
莊敬國小,2017年02月,96,84,,,,0.034,1.45
愛國國小,2017年02月,141,71,,,,0.058,1.88
楠梓區清潔隊,2017年02月,92,52,,,,0.032,2.06
路竹地政事務所,2017年02月,92,,,,,0.04,2.54
鼓山圖書分館,2017年02月,74,42,,,,0.025,1.6
衛生局中正辦公室,2017年02月,108,48,,,,0.032,1.31
環保局環境檢驗科,2017年02月,107,56,,,,0.032,1.45
大社工業區,2017年03月,131,,6.77,24.7,18.9,0.048,1.65
大寮區公所,2017年03月,113,,6.07,25.2,21.4,0.043,2.25
大樹監測站,2017年03月,117,,6.08,20.5,24,0.043,2.8
仁武國中,2017年03月,126,,7.15,26.2,21.9,0.073,2.47
半屏山電信局,2017年03月,94,63,4.9,19,15.1,0.034,1.75
左營國小,2017年03月,100,49,5.23,19.9,17.2,0.038,2.09
永安工業區,2017年03月,122,,9.07,24.5,20.2,0.07,1.93
西子灣中山大學,2017年03月,76,54,6.06,15.7,13.6,0.046,1.22
岡山醫院,2017年03月,126,,6.04,25.1,21.3,0.061,0.99
林園工業區,2017年03月,136,,7.99,25.9,28.1,0.056,2.56
河濱國小,2017年03月,78,57,4.97,18.1,15,0.037,1.55
阿蓮區公所,2017年03月,104,,7.01,30.1,22.4,0.048,1.11
前鎮國小,2017年03月,146,99,6.4,25.3,20.4,0.06,2.33
莊敬國小,2017年03月,117,107,7.06,26.1,22.6,0.04,1.86
愛國國小,2017年03月,136,67,8.38,29.4,23.5,0.061,2.39
楠梓區清潔隊,2017年03月,92,51,5.05,37.5,18.8,0.023,1.84
路竹地政事務所,2017年03月,112,,7.12,21.2,17.4,0.066,1.68
鼓山圖書分館,2017年03月,78,49,5.71,19.9,16.7,0.052,0.75
衛生局中正辦公室,2017年03月,82,47,4.46,19.5,16.1,0.034,2.03
