item1,item2,value1,value2,value3,value4,value5,value6,value7
100年,總計,71.26,...,54.3,3.76,0.43,15.83,56.96
100年 1月,總計,69.01,...,50.3,3.93,0.49,18.22,39.96
100年 2月,總計,97.25,...,72.4,3.77,0.57,19.78,57.22
100年 3月,總計,98.72,...,77.5,4.45,0.52,20.09,62.47
100年 4月,總計,115.15,...,81.5,4.34,0.50,18.68,75.34
100年 5月,總計,73.98,...,48.7,3.67,0.43,16.32,64.02
100年 6月,總計,55.96,...,36.9,3.73,0.33,12.52,51.12
100年 7月,總計,53.15,...,35.6,3.50,0.31,11.47,51.93
100年 8月,總計,54.54,...,36.1,3.68,0.29,11.35,55.21
100年 9月,總計,77.95,...,56.8,3.81,0.38,13.22,70.31
100年 10月,總計,75.34,...,54.3,3.53,0.40,14.64,64.18
100年 11月,總計,75.97,...,52.6,3.50,0.47,16.85,51.29
100年 11月,宜蘭縣,53.08,0.0,28.2,2.1,0.37,11.15,35.95
100年 11月,新竹縣,40.22,0.0,36.2,2.65,0.36,12.75,47.4
100年 11月,苗栗縣,47.82,0.0,45.3,2.75,0.42,14.8,51.85
100年 11月,彰化縣,80.17,0.0,67.6,4.05,0.47,17.6,54.95
100年 11月,南投縣,90.41,0.0,66.5,2.8,0.51,17.95,66.45
100年 11月,雲林縣,61.56,0.0,72.7,3.2,0.42,16.45,61.1
100年 11月,嘉義縣,110.4,0.0,71.2,3.2,0.4,14.0,59.3
100年 11月,屏東縣,92.23,0.0,54.7,3.03,0.38,9.4,60.27
100年 11月,臺東縣,71.64,0.0,23.7,1.3,0.35,6.3,35.4
100年 11月,花蓮縣,55.99,0.0,24.0,2.0,0.44,11.8,33.7
100年 11月,澎湖縣,64.19,0.0,0.0,0.0,0.0,0.0,0.0
100年 11月,基隆市,50.55,0.0,24.1,1.5,0.31,9.0,43.4
100年 12月,總計,61.29,...,49.4,3.28,0.45,16.95,41.42
101年,總計,63.17,...,50.5,3.29,0.43,14.64,56.36
101年 1月,總計,77.65,...,50.5,3.20,0.51,16.27,42.95
101年 2月,總計,72.04,...,50.9,3.13,0.52,18.00,45.44
101年 3月,總計,79.26,...,67.3,3.52,0.54,18.73,61.91
101年 4月,總計,68.34,...,53.8,3.44,0.47,16.31,57.78
101年 5月,總計,63.82,...,43.2,3.36,0.37,12.96,62.86
101年 6月,總計,52.59,...,36.4,2.98,0.32,11.31,51.74
101年 7月,總計,47.33,...,34.3,3.07,0.26,9.86,50.47
101年 8月,總計,47.00,...,38.1,2.90,0.32,10.76,51.55
101年 9月,總計,66.54,...,50.2,3.19,0.35,12.04,70.51
101年 10月,總計,81.29,...,61.6,3.21,0.39,13.72,72.73
101年 9月,屏東縣,58.86,0.0,52.5,2.3,0.3,6.53,74.83
101年 9月,臺東縣,0.0,0.0,35.5,1.1,0.27,4.5,37.3
101年 9月,花蓮縣,34.47,0.0,27.1,1.4,0.32,6.9,40.0
101年 9月,澎湖縣,62.71,0.0,41.9,1.8,0.19,2.9,62.8
101年 9月,基隆市,72.02,0.0,25.6,1.7,0.25,7.0,53.2
101年 9月,新竹市,33.69,0.0,50.0,3.0,0.39,14.9,67.8
101年 11月,總計,78.01,...,60.6,3.68,0.54,17.62,58.62
101年 12月,總計,68.28,...,53.9,3.52,0.53,17.61,48.94
102年,總計,63.27,...,53.1,3.45,0.42,14.35,57.74
102年 1月,總計,71.06,...,61.1,3.52,0.54,18.00,50.10
102年 2月,總計,78.03,...,62.0,3.04,0.50,15.85,55.45
102年 3月,總計,85.72,...,66.5,3.52,0.48,16.68,62.90
102年 4月,總計,73.61,...,58.4,3.37,0.54,17.24,63.51
102年 5月,總計,51.00,...,38.0,3.22,0.39,13.64,53.42
102年 6月,總計,55.31,...,40.6,3.43,0.34,11.66,56.27
102年 7月,總計,47.68,...,33.2,3.35,0.28,10.73,56.20
102年 8月,總計,43.00,...,31.7,3.31,0.30,10.84,52.52
102年 9月,總計,56.58,...,46.2,3.00,0.32,10.58,63.93
102年 7月,金門縣,0.0,0.0,30.3,4.0,0.14,7.5,42.1
102年 10月,總計,93.82,...,63.8,3.17,0.35,12.60,68.73
102年 11月,總計,79.60,...,72.5,4.07,0.47,16.39,60.28
102年 12月,總計,70.30,...,65.0,4.35,0.51,18.60,49.80
103年,總計,58.11,...,52.0,3.40,0.41,14.37,58.36
103年 1月,總計,98.60,...,76.1,4.29,0.52,19.22,60.13
103年 2月,總計,59.53,...,50.9,3.05,0.47,16.47,50.85
103年 3月,總計,73.30,...,67.0,3.72,0.50,17.55,59.42
103年 4月,總計,69.28,...,59.7,3.63,0.46,15.39,67.49
103年 5月,總計,48.98,...,40.4,3.28,0.43,14.58,53.91
103年 6月,總計,43.02,...,35.5,3.14,0.33,11.42,48.82
103年 6月,高雄市,52.11,0.0,36.2,5.08,0.28,11.06,43.8
103年 6月,宜蘭縣,36.12,0.0,35.2,2.25,0.29,7.78,45.89
105年 1月,高雄市,89.11,0.0,65.1,4.56,0.6,22.94,49.89
105年 1月,宜蘭縣,29.54,0.0,32.1,1.97,0.39,10.27,37.15
105年 1月,新竹縣,60.15,0.0,37.2,2.36,0.42,12.55,40.62
105年 1月,苗栗縣,56.87,0.0,40.6,2.31,0.44,14.79,38.36
105年 1月,彰化縣,38.36,0.0,45.4,3.43,0.49,15.48,40.33
105年 1月,南投縣,58.92,0.0,51.1,2.7,0.55,18.54,43.5
105年 1月,雲林縣,57.63,0.0,49.0,2.89,0.47,17.13,42.08
105年 1月,嘉義縣,33.14,0.0,60.6,2.79,0.43,13.11,48.12
105年 1月,屏東縣,106.53,0.0,45.5,1.9,0.43,11.62,52.36
105年 1月,臺東縣,39.47,0.0,15.4,1.27,0.4,6.4,37.26
105年 1月,花蓮縣,46.94,0.0,23.9,2.3,0.44,11.2,37.9
105年 1月,澎湖縣,129.0,0.0,34.9,1.4,0.33,4.31,47.33
105年 1月,基隆市,39.22,0.0,29.2,2.35,0.45,12.47,41.39
103年 7月,總計,41.94,...,34.0,3.11,0.26,9.58,53.52
103年 8月,總計,38.58,...,31.7,3.19,0.29,10.49,55.99
103年 9月,總計,45.15,...,39.1,3.32,0.32,11.09,62.19
103年 10月,總計,74.93,...,63.0,3.21,0.39,13.39,75.37
103年 11月,總計,75.19,...,58.9,3.24,0.45,15.67,63.93
103年 12月,總計,87.53,...,67.0,3.59,0.50,17.78,48.06
104年,總計,52.74,...,47.1,3.13,0.40,13.62,56.13
104年 1月,總計,90.14,...,68.1,3.38,0.51,17.65,55.49
104年 2月,總計,71.40,...,64.4,3.07,0.50,16.40,57.52
104年 3月,總計,62.03,...,55.8,3.24,0.49,16.90,57.66
104年 4月,總計,53.91,...,48.7,3.26,0.39,14.15,61.31
104年 4月,嘉義縣,52.12,0.0,62.3,2.68,0.32,9.99,54.01
104年 4月,屏東縣,62.7,0.0,47.0,2.43,0.29,8.71,64.44
104年 4月,臺東縣,55.43,0.0,22.3,1.26,0.35,5.5,43.16
104年 4月,花蓮縣,35.62,0.0,29.4,1.66,0.33,7.55,48.18
104年 4月,澎湖縣,40.0,0.0,34.9,1.98,0.23,3.8,51.86
104年 4月,基隆市,65.14,0.0,32.7,2.51,0.39,11.95,61.36
104年 4月,新竹市,99.56,0.0,40.2,2.83,0.44,15.84,57.75
104年 5月,總計,45.03,...,37.5,3.05,0.36,13.00,49.01
104年 6月,總計,36.88,...,31.5,3.07,0.28,10.12,46.57
104年 7月,總計,47.15,...,34.3,2.94,0.28,9.53,53.32
104年 8月,總計,37.83,...,30.6,2.83,0.30,10.36,47.53
104年 9月,總計,46.67,...,39.6,3.03,0.37,11.73,68.24
104年 10月,總計,58.96,...,49.4,3.03,0.39,12.37,65.67
104年 11月,總計,63.73,...,51.6,3.35,0.45,14.96,61.83
104年 12月,總計,75.63,...,53.7,3.32,0.48,16.27,49.91
105年,總計,46.95,...,42.9,2.97,0.39,13.53,53.89
105年 1月,總計,58.03,...,45.2,2.84,0.52,17.10,41.61
105年 2月,總計,48.15,...,51.5,2.61,0.47,15.44,50.47
105年 3月,總計,65.17,...,54.1,3.05,0.52,19.29,55.57
105年 2月,嘉義市,44.77,0.0,71.6,3.19,0.57,0.0,50.3
105年 2月,金門縣,79.85,0.0,66.2,2.59,0.4,10.19,51.43
105年 2月,連江縣,0.0,0.0,54.7,2.62,0.37,5.32,56.78
105年 3月,新北市,61.3,0.0,46.3,2.81,0.64,22.37,53.12
105年 3月,臺北市,47.3,0.0,43.7,2.54,0.74,27.95,50.42
105年 3月,桃園市,59.45,0.0,52.9,3.3,0.52,22.34,50.53
105年 3月,臺中市,25.33,0.0,51.9,2.6,0.54,21.67,55.85
105年 3月,臺南市,90.36,0.0,66.4,3.14,0.5,18.83,56.71
105年 3月,高雄市,68.54,0.0,67.1,4.83,0.55,21.93,60.36
105年 3月,宜蘭縣,47.12,0.0,37.9,2.05,0.35,9.8,51.8
105年 3月,新竹縣,70.32,0.0,45.7,2.53,0.41,15.46,55.02
105年 4月,總計,55.96,...,51.0,3.33,0.46,15.10,59.83
105年 5月,總計,44.20,...,39.0,3.19,0.36,12.29,56.82
100年 3月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105年 6月,總計,34.97,...,28.0,2.89,0.28,10.09,47.39
105年 7月,總計,37.80,...,30.8,2.91,0.25,9.40,52.31
105年 8月,總計,39.83,...,34.0,3.04,0.29,10.39,60.04
105年 9月,總計,38.04,...,33.9,2.69,0.31,10.50,53.71
105年 10月,總計,57.49,...,42.9,3.00,0.33,11.56,56.69
105年 11月,總計,51.35,...,49.8,3.09,0.41,15.47,58.29
105年 12月,總計,68.78,...,55.3,2.94,0.43,15.85,54.05
106年,總計,48.65,20.5,44.0,2.88,0.35,12.86,56.43
106年 1月,總計,68.73,25.8,53.2,2.84,0.43,14.91,53.45
106年 1月,臺中市,49.28,23.8,46.4,2.13,0.43,15.52,51.16
106年 1月,臺南市,86.75,35.6,75.3,3.04,0.46,16.69,60.59
