SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
二林,彰化縣,45,,良好,2.2,0.19,0.2,43,23,39,17,1.6,2.7,1.1,2,273,2020-05-25 11:00,14,38,3,120.409653,23.925175,35
三重,新北市,52,細懸浮微粒,普通,3.3,1.05,1.0,-,,32,21,33,74,41,,,2020-05-25 11:00,16,24,2,121.493806,25.072611,67
三義,苗栗縣,41,,良好,1.4,0.27,0.2,55,35,27,21,7.3,9.6,2.3,2.3,259,2020-05-25 11:00,13,23,2,120.758833,24.382942,27
土城,新北市,29,,良好,,,0.4,45,16,,19,,,,1.2,240,2020-05-25 11:00,9,18,2,121.451861,24.982528,5
士林,臺北市,34,,良好,1.9,0.36,0.3,50,25,26,17,11,14,2.7,1.4,192,2020-05-25 11:00,11,18,1,121.515389,25.105417,11
大同,臺北市,47,,良好,3.5,1.24,1.0,-,,30,21,42,95,53,,,2020-05-25 11:00,15,26,2,121.513311,25.0632,16
大里,臺中市,48,,良好,2,0.33,0.3,53,35,22,14,7,8.4,1.4,2.6,232,2020-05-25 11:00,15,29,3,120.677689,24.099611,30
大園,桃園市,38,,良好,4.6,0.29,0.3,50,23,32,16,14,18,4.1,3.2,350,2020-05-25 11:00,12,25,2,121.201811,25.060344,18
大寮,高雄市,33,,良好,0.1,0.28,0.3,50,28,32,23,12,15,3,2.5,219,2020-05-25 11:00,10,22,2,120.425081,22.565747,51
小港,高雄市,38,,良好,3.3,0.25,0.3,44,33,26,19,17,25,7.2,2.2,255,2020-05-25 11:00,12,21,4,120.337736,22.565833,58
中山,臺北市,24,,良好,2.9,0.57,0.5,40,23,27,11,21,27,6.3,1.3,278,2020-05-25 11:00,7,21,2,121.526528,25.062361,12
中壢,桃園市,46,,良好,2.2,0.67,1.3,33,12,32,23,26,37,10,0.8,13,2020-05-25 11:00,14,26,2,121.221667,24.953278,68
仁武,高雄市,36,,良好,1.7,0.24,0.3,55,35,24,12,7.2,10,3.1,2.5,273,2020-05-25 11:00,11,22,2,120.332631,22.689056,49
斗六,雲林縣,49,,良好,3.4,0.31,0.3,60,37,27,16,4.7,6.8,2.1,1.7,279,2020-05-25 11:00,15,33,4,120.544994,23.711853,37
冬山,宜蘭縣,18,,良好,1.6,0.19,0.2,35,16,15,5,6.4,10,3.8,2.4,60,2020-05-25 11:00,5,19,1,121.792928,24.632203,66
古亭,臺北市,24,,良好,1.3,0.42,0.3,42,20,26,12,17,20,3,1,164,2020-05-25 11:00,7,20,1,121.529556,25.020608,14
左營,高雄市,34,,良好,2.2,0.18,0.3,,28,18,10,,,,2.7,277,2020-05-25 11:00,11,22,2,120.292917,22.674861,54
平鎮,桃園市,47,,良好,2.8,0.37,0.4,52,21,43,23,14,17,3,2.1,273,2020-05-25 11:00,15,32,2,121.203986,24.952786,20
永和,新北市,31,,良好,2,0.95,0.9,37,17,26,22,22,44,22,1.5,54,2020-05-25 11:00,10,19,2,121.516306,25.017,70
安南,臺南市,37,,良好,1.9,0.19,0.2,51,40,27,13,5,5.8,0.8,2.9,264,2020-05-25 11:00,11,29,2,120.2175,23.048197,45
朴子,嘉義縣,34,,良好,1.4,0.18,0.2,47,32,21,9,2.6,2.8,0.1,2,38,2020-05-25 11:00,11,26,2,120.24781,23.467123,40
